NOMBRE,GARMINCODE,GIROTIPO,TELEFONO,NOMBRE_VIA,CUADRA,URBANIZACI,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMEN,PAIS,LONGITUDE,LATITUDE
Imupesa,0x6405,edificio,,AV NESTOR GAMBETTA,,ASOC ZONA INDUSTRIAL,,CALLAO,CALLAO,CALLAO,PERU,-77.125533,-11.992895
Hospital Chalaco III,0x3002,hospital,,AV PANAMERICANA NORTE,36,ASOC NUEVA JERUSALEN,,VENTANILLA,CALLAO,CALLAO,PERU,-77.119722,-11.82862
Plaza de Armas de Ventanilla,0x640e,parque,,AV PEDRO BELTRAN,,UB CIUDAD SATELITE,,VENTANILLA,CALLAO,CALLAO,PERU,-77.122006,-11.87209
Hostal Iguazu,0x2b01,hotel,,AV REVOLUCION,,,,VENTANILLA,CALLAO,CALLAO,PERU,-77.124917,-11.867657
Hospital Chalaco 2,0x3002,hospital,,AV JUPITER,,,,VENTANILLA,CALLAO,CALLAO,PERU,-77.12591,-11.885498
Open Plaza Canta Callao,0x2e01,mall,,OPEN PLAZA CANTA CALLAO,,COOP 7 DE AGOSTO 1 ETAPA,,CALLAO,CALLAO,CALLAO,PERU,-77.113174,-11.99784
Ovalo Saloom,0x2c06,parque,,AV OVALO JUAN PABLO II,,UB SAN ANTONIO,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.11909,-12.06513
Cerro la Regla,0x6613,cerro,,,,,,CALLAO,CALLAO,CALLAO,PERU,-77.120777,-11.991668
Plaza Fanning (Obelisco),0x2c06,parque,,,,UB CHACARITAS,,CALLAO,CALLAO,CALLAO,PERU,-77.134003,-12.051647
Plaza de Armas de Bellavista,0x2c06,parque,,,,,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.128593,-12.06249
Radio Patrulla del Callao,0x3001,policia,,AV LA PAZ,29,UB LEONCIO PRADO,,LA PERLA,CALLAO,CALLAO,PERU,-77.110115,-12.077259
Colegio Jesus Salvador,0x2c05,colegio,,AV DOMINICOS,11,UB LOS NOGALES,,CALLAO,CALLAO,CALLAO,PERU,-77.101273,-12.002217
Hostal Acuario,0x2b01,hotel,,CA CALLE 27,,ASOC LOS JARDINES,,CALLAO,CALLAO,CALLAO,PERU,-77.099417,-12.006023
Hostal Jeferson,0x2b01,hotel,,AV BOCANEGRA,9,ASOC LOS JARDINES,,CALLAO,CALLAO,CALLAO,PERU,-77.101044,-12.007354
Iglesia Mormona,0x2c0b,iglesia,,AV QUILCA,,UB JORGE CHAVEZ,,CALLAO,CALLAO,CALLAO,PERU,-77.095559,-12.031881
Rico Amanecer,0x2b01,hotel,,AV QUILCA,5,UB JORGE CHAVEZ,,CALLAO,CALLAO,CALLAO,PERU,-77.096999,-12.034787
Parque Olimpico,0x2c06,parque,,AV COMANDANTE PEREZ SALMON,,UB JUAN PABLO II,,CALLAO,CALLAO,CALLAO,PERU,-77.114737,-12.053284
Hostal 21,0x2b01,hotel,,AV JUAN PABLO II,1,UB SAN ANTONIO,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.115519,-12.057344
Colegio Sr de los Milagros,0x2c05,colegio,,AV OSCAR R BENAVIDES,19,,,CALLAO,CALLAO,CALLAO,PERU,-77.124223,-12.058439
Centro Salud el Alamo,0x3002,hospital,,CA COLECTORA,,,,CALLAO,CALLAO,CALLAO,PERU,-77.1073,-12.001862
Hostal,0x2b01,hotel,,AV PACASMAYO,17,,,CALLAO,CALLAO,CALLAO,PERU,-77.104577,-12.004015
Parque Tematico de la Fuerza Aerea,0x2c01,parque tematico,,AV ELMER FAUCETT,,,,CALLAO,CALLAO,CALLAO,PERU,-77.111061,-12.012464
Hostal Princes,0x2b01,hotel,,AV VENEZUELA,12,UB CIUDAD DEL PESCADOR ZONA 3,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.109823,-12.063455
Templo Ivan Cruz,0x2c0b,iglesia,,AV OSCAR R BENAVIDES,29,UB LOS PILARES,,CALLAO,CALLAO,CALLAO,PERU,-77.111098,-12.055871
Hostal,0x2b01,hotel,,CA CALLE 3,,UB ELMER FAUCETT,,CALLAO,CALLAO,CALLAO,PERU,-77.121797,-11.998289
Huaca Respiro,0x6612,huaca,,,,,,VENTANILLA,CALLAO,CALLAO,PERU,-77.0976,-11.94797
Centro del Adulto Mayor Essalud,0x3002,hospital,,JR FRANCISCO BOLOGNESI,2,,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.128335,-12.060042
Hostal Venecia,0x2b01,hotel,,CA NICOMEDES SANTA CRUZ,1,UB CIUDAD DEL PESCADOR,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.111644,-12.057092
Hostal el Conquistador,0x2b01,hotel,,AV OSCAR R BENAVIDES,35,UB CIUDAD DEL PESCADOR,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.106493,-12.055433
Parroquia Corazon de Maria,0x2c0b,iglesia,,PJE BOCA DEL RIO,1,UB GERMAN LUIS ASTETE,,LA PERLA,CALLAO,CALLAO,PERU,-77.104768,-12.068091
Seguridad CIudadana,0x3001,serenazgo,,AV OSCAR R BENAVIDES,43,UB JUAN VELASCO ALVARADO,,CALLAO,CALLAO,CALLAO,PERU,-77.098896,-12.053458
Policlinico Bien,0x3002,hospital,,AV ALMIRANTE MIGUEL GRAU,14,UB VIGIL,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.132324,-12.060948
Instituto Virgen del Carmen,0x2c05,instituto,,AV VENEZUELA,14,,,LA PERLA,CALLAO,CALLAO,PERU,-77.110335,-12.064052
Casa de Cambio,0x2f06,dolares,,MINKA,,,CC MINKA,CALLAO,CALLAO,CALLAO,PERU,-77.109812,-12.048347
Coney Park,0x2c01,juegos,,MINKA,,,CC MINKA,CALLAO,CALLAO,CALLAO,PERU,-77.112741,-12.048105
Paradero Linea 54,0x2f08,paradero,,AV HUASCAR,,,,CALLAO,CALLAO,CALLAO,PERU,-77.114307,-12.046518
